seq,rtt_ms,inter_arrival_ms,timestamp
426,0.334,20.025,1770628382.870797
427,0.389,20.168,1770628382.890965
428,0.270,19.972,1770628382.910937
429,0.325,20.174,1770628382.931110
430,0.317,20.092,1770628382.951202
431,0.305,20.105,1770628382.971307
432,0.328,20.120,1770628382.991427
433,0.294,20.108,1770628383.011535
434,0.448,20.267,1770628383.031803
435,0.269,20.034,1770628383.051837
436,0.268,20.100,1770628383.071937
437,0.260,20.104,1770628383.092041
438,0.281,20.130,1770628383.112171
439,0.402,20.252,1770628383.132423
440,0.460,20.167,1770628383.152590
441,0.333,19.987,1770628383.172577
442,0.404,20.185,1770628383.192762
443,0.416,20.112,1770628383.212874
444,0.403,20.092,1770628383.232966
445,0.303,20.045,1770628383.253011
446,0.355,20.161,1770628383.273172
447,0.354,20.123,1770628383.293295
448,0.462,20.323,1770628383.313618
449,0.532,20.299,1770628383.333917
450,0.333,19.948,1770628383.353865
451,0.254,20.021,1770628383.373886
452,0.420,20.366,1770628383.394252
453,0.396,20.179,1770628383.414430
454,0.355,20.072,1770628383.434503
455,0.396,20.141,1770628383.454644
456,0.314,20.035,1770628383.474679
457,0.372,20.193,1770628383.494872
458,0.319,20.084,1770628383.514956
459,0.481,20.266,1770628383.535223
460,0.340,19.996,1770628383.555219
461,0.445,20.317,1770628383.575536
462,0.510,20.185,1770628383.595721
463,0.413,20.211,1770628383.615932
464,0.435,20.287,1770628383.636219
465,0.415,20.101,1770628383.656320
466,0.471,20.187,1770628383.676507
467,0.502,20.271,1770628383.696778
468,0.492,20.227,1770628383.717005
469,0.487,20.131,1770628383.737136
470,0.503,20.263,1770628383.757398
471,0.463,20.098,1770628383.777497
472,0.356,20.133,1770628383.797630
473,0.299,20.191,1770628383.817821
474,0.256,20.081,1770628383.837902
475,0.254,20.123,1770628383.858025
476,0.470,20.444,1770628383.878468
477,0.503,20.158,1770628383.898626
478,0.517,20.253,1770628383.918879
479,0.353,19.924,1770628383.938803
480,0.390,20.283,1770628383.959087
481,0.411,20.284,1770628383.979371
482,0.479,20.313,1770628383.999684
483,0.443,20.227,1770628384.019911
484,0.400,20.071,1770628384.039982
485,0.522,20.362,1770628384.060344
486,0.560,20.289,1770628384.080633
487,0.467,20.107,1770628384.100740
488,0.481,20.158,1770628384.120899
489,0.387,20.146,1770628384.141045
490,0.520,20.249,1770628384.161294
491,0.538,20.257,1770628384.181550
492,0.469,20.176,1770628384.201726
493,0.490,20.253,1770628384.221980
494,0.412,20.019,1770628384.241999
495,0.495,20.187,1770628384.262186
496,0.426,20.173,1770628384.282359
497,0.417,20.225,1770628384.302584
498,0.429,20.239,1770628384.322822
499,0.451,20.250,1770628384.343072
500,0.322,19.998,1770628384.363070
501,0.213,19.982,1770628384.383052
502,0.353,20.266,1770628384.403318
503,0.496,20.272,1770628384.423590
504,0.459,20.102,1770628384.443692
505,0.488,20.147,1770628384.463839
506,0.376,20.172,1770628384.484011
507,0.258,19.999,1770628384.504010
508,0.278,20.125,1770628384.524135
509,0.298,20.259,1770628384.544393
510,0.294,20.122,1770628384.564516
511,0.334,20.163,1770628384.584678
512,0.296,20.208,1770628384.604886
513,0.275,20.207,1770628384.625093
514,0.276,20.234,1770628384.645327
515,0.362,20.223,1770628384.665549
516,0.336,20.256,1770628384.685805
517,0.283,20.071,1770628384.705876
518,0.283,20.133,1770628384.726009
519,0.289,20.161,1770628384.746171
520,0.296,20.141,1770628384.766312
521,0.361,20.282,1770628384.786594
522,0.347,20.224,1770628384.806818
523,0.296,20.216,1770628384.827033
524,0.288,20.226,1770628384.847259
525,0.319,20.169,1770628384.867428
526,0.374,20.297,1770628384.887725
527,0.300,20.168,1770628384.907893
528,0.304,20.270,1770628384.928163
529,0.260,20.072,1770628384.948234
530,0.302,20.279,1770628384.968514
531,0.318,20.274,1770628384.988788
532,0.302,20.245,1770628385.009033
533,0.285,20.220,1770628385.029253
534,0.356,20.311,1770628385.049563
535,0.335,20.112,1770628385.069676
536,0.295,20.193,1770628385.089868
537,0.320,20.140,1770628385.110008
538,0.329,20.184,1770628385.130192
539,0.203,19.972,1770628385.150164
540,0.423,20.433,1770628385.170597
541,0.504,20.350,1770628385.190948
542,0.524,20.264,1770628385.211212
543,0.430,20.156,1770628385.231368
544,0.513,20.329,1770628385.251696
545,0.310,20.041,1770628385.271738
546,0.379,20.249,1770628385.291986
547,0.330,20.067,1770628385.312053
548,0.307,20.219,1770628385.332272
549,0.352,20.284,1770628385.352556
550,0.355,20.192,1770628385.372748
551,0.189,19.934,1770628385.392682
552,0.274,20.316,1770628385.412998
553,0.302,20.140,1770628385.433139
554,0.299,20.113,1770628385.453252
555,0.378,20.302,1770628385.473554
556,0.359,20.114,1770628385.493668
557,0.342,20.097,1770628385.513766
558,0.287,20.403,1770628385.534169
559,0.255,20.079,1770628385.554248
560,0.247,20.098,1770628385.574346
561,0.261,20.122,1770628385.594468
562,0.202,20.039,1770628385.614507
563,1.120,21.025,1770628385.635532
564,0.310,19.304,1770628385.654836
565,0.268,21.580,1770628385.676416
566,0.194,20.039,1770628385.696455
